"portal","suchbegriff","titel","auftraggeber","veroeffentlichungsdatum","frist","beschreibung","link"
"USP Bund","Raumplanung","BAUI 7117KW Obervellach II-BAU - Ökologisches Monitoring","ÖBB-Infrastruktur AG","2025-10-27","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-7a4b5837-9725-4696-a2e4-6971dde70988&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","S36 TA01 Judenburg - St. Georgen o.J. - Umweltuntersuchungen Tiere und Pflanzen","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2025-10-20","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-19072310-3d68-496e-b428-48582d1f448c&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Rahmenvereinbarung Umweltfachperson für Fragestellungen iZm Naturschutz, Forst und Landschaftsbau, - Österreichweit in 4 Losen 2025-2027 (GL) und 2028-2029 (Option)","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2025-09-02","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-59a1aaf8-cb7d-4e4c-96fc-458c9a3eae49&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Beratungsleistungen Organisation","ÖBB Business Competence Center GmbH","2025-08-26","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-8a9d3c54-4397-4f17-8ee6-42c30cc7a70b&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Sammelausschreibung NGP Projekte Dornbirnerach, Lustenauerkanal und Spirsbach","Bund (Republik Österreich), Bundeswasserbauverwaltung, vertreten durch das Amt der Vorarlberger Landesregierung, Abteilung Wasserwirtschaft (VIId)","2025-08-08","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-d89acbbd-2141-4280-b5db-255fd1aa599f&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Beratungsleistungen Organisation","ÖBB Business Competence Center GmbH","2025-07-16","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-ed15322c-0ef8-4606-b1dc-79d09c6e6e00&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Wien Meidling; Verbundgebäude Planung - Generalplanungsleistungen (Objektplanung und Fachplanung) für LPH 1-4 und optional für LPH 5-9","ÖBB-Infrastruktur AG","2025-07-15","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-f240fe4e-4f8d-491b-96d9-f18a0456546a&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","A14 Rheintal/Walgau Autobahn - SAB ASt Bludenz-Nüziders bis ASt. Bludenz-Bürs - Umweltuntersuchung EP","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2025-07-10","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-7ec90ff1-3e6c-454c-9245-9637a8e5e5e1&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Österreich Unterwegs (ÖU) - Pretest Controlling","Auftraggeberin ist die Republik Österreich (Bund), vertreten durch den Bundesminister für Innovation, Mobilität und Infrastruktur","2025-05-20","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-d421b2ce-0564-4543-b184-0b877eb824b1&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","A14 Rheintal / Walgau Autobahn, Rastplätze Walgau Nord und Süd - A14 / Rastplätze Walgau Nord u. Süd / Umweltbaubegleitung und landschaftspflegerische Begleitplanung","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2025-04-28","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-0fdfa9ef-acc5-4810-b5c9-aa22f9434428&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
